filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/spa-angular-tutorial/TOC.md,,,,,,
help/spa-angular-tutorial/overview.md,Getting Started with the AEM SPA Editor and Angular,"Create your first Angular Single Page Application (SPA) that is editable in Adobe Experience Manager, AEM with the WKND SPA. Learn how to create a SPA using the Angular JS framework with AEM's SPA Editor. This multi-part tutorial walks through the implementation of a Angular application for a fictitious lifestyle brand, the WKND. The tutorial covers the end to end creation of the SPA and the integration with AEM.",SPA Editor,SPA,Developer,Beginner
help/spa-angular-tutorial/create-project.md,SPA Editor Project | Getting Started with the AEM SPA Editor and Angular,Learn how to use an Adobe Experience Manager (AEM) Maven project as a starting point for an Angular application integrated with the AEM SPA Editor.,"SPA Editor, AEM Project Archetype",SPA,Developer,Beginner
help/spa-angular-tutorial/integrate-spa.md,Integrate a SPA | Getting Started with the AEM SPA Editor and Angular,"Understand how the source code for a Single Page Application (SPA) written in Angular can be integrated with an Adobe Experience Manager (AEM) Project. Learn to use modern front-end tools, like the Angular's CLI tool, to rapidly develop the SPA against the AEM JSON model API.",SPA Editor,SPA,Developer,Beginner
help/spa-angular-tutorial/map-components.md,Map SPA components to AEM components | Getting Started with the AEM SPA Editor and Angular,"Learn how to map Angular components to Adobe Experience Manager (AEM) components with the AEM SPA Editor JS SDK. Component mapping enables users to make dynamic updates to SPA components within the AEM SPA Editor, similar to traditional AEM authoring.",SPA Editor,SPA,Developer,Beginner
help/spa-angular-tutorial/navigation-routing.md,Add navigation and routing | Getting Started with the AEM SPA Editor and Angular,Learn how multiple views in the SPA are supported using AEM Pages and the SPA Editor SDK. Dynamic navigation is implemented using Angular routes and added to an existing Header component.,SPA Editor,SPA,Developer,Beginner
help/spa-angular-tutorial/custom-component.md,Create a Custom Component | Getting Started with the AEM SPA Editor and Angular,Learn how to create a custom component to be used with the AEM SPA Editor. Learn how to develop author dialogs and Sling Models to extend the JSON model to populate a custom component.,SPA Editor,SPA,Developer,Beginner
help/spa-angular-tutorial/extend-component.md,Extend a Component | Getting Started with the AEM SPA Editor and Angular,Learn how to extend an existing Core Component to be used with the AEM SPA Editor. Understanding how to add properties and content to an existing component is a powerful technique to expand the capabilities of an AEM SPA Editor implementation. Learn to use the delegation patter for extending Sling Models and features of Sling Resource Merger.,"SPA Editor, Core Components",SPA,Developer,Beginner
