filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/aem-target-personalization/TOC.md,,,,,,
help/aem-target-personalization/./overview.md,Getting Started with AEM and Adobe Target,"An end-to-end tutorial showing how to create and deliver personalized experiences using Adobe Experience Manager and Adobe Target. In this tutorial, you will also learn about different personas involved in the end to end process and how they collaborate with each other",Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./personalization-use-case-1.md,Personalization using AEM Experience Fragments and Adobe Target,An end-to-end tutorial showing how to create and deliver personalized experience using Adobe Experience Manager Experience Fragments and Adobe Target.,Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./personalization-use-case-3.md,Personalization using Adobe Target Visual Experience Composer,An end-to-end tutorial showing how to create and deliver personalized experience using Adobe Target Visual Experience Composer (VEC).,Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./personalization-use-case-2.md,Personalization using Adobe Target,An end-to-end tutorial showing how to create and deliver personalized experience using Adobe Target.,Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./implementation.md,Integrating Adobe Experience Manager with Adobe Target,An article covering how to set up Adobe Experience Manager with Adobe Target for different scenarios.,Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./using-launch-adobe-io.md,Integrating Adobe Experience Manager with Adobe Target using Experience Platform Launch and Adobe I/O,Step by step walk-through on how to integrate Adobe Experience Manager with Adobe Target using Experience Platform Launch and Adobe I/O,Experience Fragments,Personalization,Developer,Intermediate
help/aem-target-personalization/./using-aem-cloud-services.md,Integrating Adobe Experience Manager with Adobe Target using Cloud Services,Step by step walkthrough on how to integrate Adobe Experience Manager (AEM) with Adobe Target using AEM Cloud Service,Experience Fragments,Personalization,Developer,Intermediate
